,adview,views,likes,dislikes,comment,published,duration,category
4102,1,148954,129,37,7,109,351,3
4103,1,270056,137,55,13,1911,81,3
4104,1,93313,699,30,163,448,280,5
4105,2794,8477,85,0,14,243,297,6
4106,9,299666,264,30,36,1150,159,6
4107,1,1480113,3833,345,400,178,6253,4
4108,1863,10819,119,5,8,1144,367,4
4109,1,51762,257,6,1,393,120,2
4110,10,224900,669,111,61,1715,2012,2
4111,1,125602,565,26,80,2264,290,0
4112,2,73350,141,18,10,2192,284,3
4113,1,3880431,844,676,68,1626,120,3
4114,7,3383101,31301,1672,2591,614,447,3
4115,19,478024,608,457,117,268,221,7
4116,1,218,0,0,0,1797,199,3
4117,1,40102,475,1,23,1966,555,6
4118,2,106495,3530,116,408,2313,439,3
4119,2,228034,1015,23,101,995,202,3
4120,1,8703,14,4,7,170,1035,3
4121,1,35765,30,8,5,38,72,2
4122,2,174720,511,54,257,2083,3417,2
4123,3,185913,293,54,245,2049,729,4
4124,2,265398,388,34,178,841,179,0
4125,1,47490,105,4,6,2115,255,3
4126,1,41274,45,6,6,2113,282,6
4127,115,5225,2,3,0,1784,111,3
4128,18,1875994,1421,561,111,801,8609,4
4129,1,440036,1902,166,783,2259,52,7
4130,6,1510420,50561,2943,0,2026,325,5
4131,5,786697,206,134,10,951,667,3
4132,1,601,3,1,3,2223,436,3
4133,1,693284,6988,187,236,1845,233,6
4134,1,1332755,3112,1738,259,665,471,3
4135,44,5369,12,8,6,2009,16,4
4136,1,161325,2932,74,1329,2102,228,3
4137,2,103218,166,22,8,1645,1227,3
4138,1,86635,465,23,32,2015,122,6
4139,11,86779,91,22,2,330,88,3
4140,1,341928,2245,279,2362,1120,689,3
4141,1,1221818,5354,2375,3402,1149,494,1
4142,1754,2299,6,4,0,649,109,3
4143,1,1436569,3853,755,412,424,160,2
4144,2,371204,2569,314,1260,1362,208,3
4145,2,1075387,1307,303,251,1756,6890,6
4146,1,64563,827,428,203,256,2468,7
4147,5,626248,772,163,46,1279,6384,3
4148,3106,4816,26,0,2,1301,309,6
4149,1,29757,230,43,38,2116,2489,7
4150,1,112245,491,31,25,1572,98,2
4151,52,443645,241,147,0,448,1091,3
4152,97,739419,1635,169,52,1353,195,3
4153,144,300240,1311,25,74,109,263,3
4154,2,315078,353,46,4,2084,620,3
4155,2,318860,656,35,54,2143,368,6
4156,1,43807,924,7,61,302,580,3
4157,13,490185,184,55,8,1382,205,3
4158,10,44288,665,35,45,706,60,4
4159,200,1694,11,0,0,1904,565,4
4160,18,573,2,2,0,696,36,3
4161,1,279109,306,140,63,140,4624,3
4162,2,75202,55,29,11,1176,2562,3
4163,1,429445,1267,83,324,1824,969,3
4164,2,10993,29,0,1,208,152,3
4165,2,110861,254,24,15,1353,647,3
4166,2316,97474,1692,23,170,89,568,3
4167,3,32704,39,3,9,1177,1753,2
4168,2,263114,456,9,40,437,86,6
4169,1,7560,116,5,6,164,377,5
4170,1,49309,881,5,171,2240,379,4
4171,1,23375,483,10,18,235,243,0
4172,1,91,0,0,0,1904,31,3
4173,4,616902,1161,180,127,1560,9536,3
4174,6,769798,2592,207,77,1693,74,3
4175,8062,48749,152,4,37,1556,3088,3
4176,8,3337295,7553,769,478,1915,252,6
4177,2,206368,219,57,9,594,8606,3
4178,8,117180,741,31,240,1647,479,3
4179,1,3053,20,0,2,430,374,3
4180,6,267016,1170,73,58,1601,1961,2
4181,2,42513,434,13,159,79,1142,6
4182,1,9258,205,3,18,1173,127,5
4183,2,6051,9,4,8,239,212,6
4184,5,101587,0,0,7,807,6184,6
4185,1,12963,40,7,2,924,67,7
4186,1,255792,946,26,34,248,763,3
4187,8,81250,164,3,13,567,391,3
4188,4,172,0,0,0,324,36,3
4189,579,483736,9201,292,960,2139,303,3
4190,1,463664,3028,279,302,849,152,2
4191,2,123662,583,33,76,1766,265,6
4192,172,9316756,35289,1374,2397,1467,198,6
4193,5,375701,347,102,33,2042,7353,3
4194,6,364599,3512,315,1023,833,30,3
4195,5,273588,1146,42,54,523,136,3
4196,6,95952,55,13,15,2064,48,3
4197,733,1137,14,0,2,58,243,6
4198,1,32577,94,10,1,2114,138,3
4199,1,193284,559,37,14,333,178,3
4200,3,1594237,1177,546,73,1491,99,3
4201,1,137491,2390,53,411,459,271,3
4202,1,678,22,4,1,122,15,3
4203,4,350784,146,59,14,14,6770,4
4204,14,317035,291,104,11,2311,773,3
4205,1,24626,128,1,37,2169,927,1
4206,4,67961,174,11,7,1232,305,3
4207,120,208731,3583,140,438,250,414,1
4208,5962,6387,3,1,0,121,151,3
4209,2,1993410,7700,833,4512,1855,922,5
4210,3,102149,1129,34,64,2015,132,3
4211,11,731443,6792,265,1206,1800,644,3
4212,3,366430,1437,3023,575,1843,397,1
4213,1,2265595,4577,632,1237,90,2246,3
4214,1,89513,533,98,45,683,323,3
4215,2,166704,349,34,18,830,732,3
4216,11,361,0,0,0,1033,21,3
4217,3,2884369,7358,1055,1042,1546,3232,6
4218,3,498305,0,0,93,828,124,3
4219,3,291075,2377,21,44,872,349,6
4220,2,14363,75,6,15,1672,2542,6
4221,2,641533,418,135,143,2084,172,3
4222,1,4427,9,3,0,232,419,3
4223,2,15957,47,13,4,692,2482,6
4224,12,837504,394,83,25,1545,75,3
4225,1,41534,202,17,25,2376,308,0
4226,1,2451,9,1,5,1807,277,2
4227,7,1135,11,2,1,2296,29,3
4228,6,26101,224,6,10,1242,415,3
4229,2,64865,115,10,15,1249,367,7
4230,1,17138,85,3,14,673,294,3
4231,1,950339,1083,279,92,1490,299,3
4232,5,2988497,6765,1101,511,1199,159,2
4233,5,28740,72,11,21,1629,429,3
4234,250,3598383,2406,869,214,831,930,3
4235,1,525463,82,0,7,1707,88,3
4236,1,8304,144,8,13,1918,95,3
4237,1,615564,7410,170,778,1274,421,1
4238,1,588621,5105,295,399,1185,54,5
4239,21,673356,6097,227,596,2361,292,5
4240,2370,2909,7,0,0,2165,221,3
4241,1,17130,148,3,34,59,525,3
4242,1,10222,58,0,15,1810,908,2
4243,1,1554,37,1,4,155,289,3
4244,1,17603,44,3,0,101,197,6
4245,5,4243634,14384,637,0,587,222,6
4246,1,3943,48,2,2,878,340,3
4247,1,156996,1330,38,120,2040,324,5
4248,1,181149,421,34,9,1911,99,3
4249,4,13371,25,9,2,745,173,3
4250,1,355868,505,92,144,452,804,6
4251,1,838,2,0,1,313,108,2
4252,1,1209593,2881,154,1877,2384,865,4
4253,1,19305,48,2,4,129,93,4
4254,1,6307,174,9,34,947,556,1
4255,176,2613822,42825,1826,5717,489,591,1
4256,1,95074,51,33,6,628,8425,4
4257,1,266666,362,49,53,1429,29,3
4258,27,140132,434,28,43,1835,261,4
4259,1,312946,1819,83,66,582,148,3
4260,2,194053,482,70,17,1259,234,6
4261,106,5003,33,3,43,1172,391,4
4262,2,1668575,396,360,10,594,156,3
4263,1,124453,1327,35,438,2253,285,3
4264,9,36736,114,3,3,182,667,1
4265,1,201003,500,31,29,1623,338,3
4266,31,1010750,445,152,23,1752,157,3
4267,1,610128,3490,207,455,1491,139,3
4268,1,8426,25,2,0,1337,1524,6
4269,1,1879,84,1,18,1165,225,3
4270,20,2205712,5021,594,721,1050,274,6
4271,1,260643,1593,203,46,1077,198,2
4272,2,464890,2891,66,201,677,100,3
4273,9,1411767,2405,194,77,1574,602,3
4274,1,129852,319,13,25,1353,248,3
4275,1,313481,1054,128,845,963,588,5
4276,4,311871,4094,361,1194,1078,356,4
4277,1,56608,460,4,33,2186,1362,1
4278,7,57397,245,16,52,154,137,3
4279,207712,4266465,19360,1410,4396,1833,189,1
4280,12,929208,573,290,49,767,498,3
4281,4,2783758,4889,2396,467,1047,6119,3
4282,1,19376,33,3,1,909,300,5
4283,2,90872,128,4,13,2234,98,4
4284,1,53723,132,0,11,261,293,6
4285,1,4007,8,1,1,1059,254,3
4286,1,394523,1000,43,183,1003,430,7
4287,1,200910,322,70,33,1292,1870,3
4288,3,294321,10621,397,1085,930,216,6
4289,2,275688,139,51,15,178,9274,3
4290,11,157007,304,31,30,1232,196,3
4291,2,1470907,21811,606,2900,222,156,6
4292,3,79662,807,16,82,1333,810,4
4293,7,1047720,16423,229,1342,200,374,1
4294,5,3546201,41963,2140,1094,793,85,3
4295,2,35048,109,4,3,1232,233,3
4296,1,1498,2,1,0,1078,623,2
4297,130501,648223,1399,131,127,922,109,3
4298,2,4559473,56465,363,2506,1037,238,1
4299,3,1545229,13524,228,2420,1392,477,1
4300,2,159210,751,32,136,520,340,0
4301,5,103337,93,55,15,770,151,5
4302,2,6818569,40491,2216,5067,1988,257,3
4303,1,66532,382,30,69,1449,929,3
4304,4,600,2,0,0,310,31,3
4305,2,828037,5182,66,204,2169,197,6
4306,1,797340,3600,131,374,2246,207,6
4307,7,921403,2228,106,1172,924,738,4
4308,3,84984,73,22,23,1084,136,4
4309,22,1684264,4468,306,178,399,387,3
4310,1,371813,1437,200,160,2156,1423,3
4311,3,722295,4731,135,677,1536,249,3
4312,7,74890,43,7,0,1382,219,3
4313,13,1013401,5039,325,2966,1875,248,3
4314,1,235,1,0,0,1716,655,3
4315,1,21511,120,2,2,924,1425,3
4316,206,1285080,32437,247,1303,473,317,1
4317,1,16013,41,1,3,777,511,3
4318,3,134414,106,33,26,2366,677,3
4319,3,129638,625,26,30,924,241,3
4320,1,53584,71,17,18,1209,305,3
4321,4,343106,274,103,48,1556,748,3
4322,1,132432,155,29,10,1856,211,3
4323,1,108173,57,22,0,961,45,3
4324,1,198587,709,136,762,1776,285,1
4325,1,23181,460,16,277,421,547,3
4326,1,358806,2723,113,254,595,163,3
4327,1,58590,158,9,11,1283,355,0
4328,1,984252,1528,3152,1603,132,251,6
4329,4,1088110,717,433,182,214,130,7
4330,1,40814,80,4,31,1459,172,6
4331,2,359042,3260,51,417,195,301,1
4332,11,264315,221,71,18,1797,2432,3
4333,16,3169579,6670,930,897,2224,203,6
4334,47,883275,2016,216,224,2151,2478,3
4335,1,6893,36,10,31,1207,191,3
4336,4,179656,108,48,46,1871,2104,3
4337,1,12471,151,12,32,141,875,3
4338,20,10912161,25471,2411,3433,1001,631,3
4339,1,85027,243,10,33,442,290,6
4340,1,61132,131,44,21,1145,170,3
4341,2,3295972,48953,536,3914,511,291,6
4342,1,943994,7715,133,776,885,298,1
4343,2,66161,88,19,10,1086,245,0
4344,4,1466959,1472,562,210,208,328,3
4345,2,2402,5,0,0,189,126,3
4346,2,1124395,5770,68,72,1001,189,4
4347,2,306536,1310,229,335,2176,606,3
4348,1,1070023,2077,278,131,1937,491,6
4349,1,506620,373,155,26,89,387,3
4350,5,1100646,1399,226,742,1674,689,4
4351,1,554480,2176,1483,110,2002,16,1
4352,3,177393,128,41,19,525,2484,3
4353,1,121840,246,58,18,26,2448,6
4354,1,21085,223,7,6,1036,240,1
4355,1,730457,6484,563,548,834,476,5
4356,2,389557,11322,220,3016,768,161,3
4357,1,87313,440,143,76,2267,126,2
4358,1,16457,49,1,0,176,945,6
4359,1,1147,44,1,4,116,298,6
4360,2,1613,8,0,0,424,98,2
4361,1,413458,1257,52,112,1300,224,6
4362,7,174439,230,44,16,1036,8993,3
4363,2,3021,35,4,18,2375,364,6
4364,1,5865,38,3,8,1221,944,3
4365,32,3738,27,4,2,995,149,4
4366,2,7382,120,1,24,1950,544,5
4367,3,56937,65,18,11,763,188,0
4368,2,1064196,4104,1313,2177,1883,346,3
4369,1,42195,98,4,11,323,408,3
4370,1,64694,173,2,80,755,649,3
4371,1,26561,42,1,5,849,756,3
4372,10,203562,212,16,7,625,58,3
4373,1,51966,72,9,1,933,960,3
4374,3,109014,102,12,41,1273,50,3
4375,3,45578,25,6,3,1080,238,6
4376,3,30918,60,7,13,898,7672,4
4377,3,7091,6,1,0,2059,169,3
4378,1,54789,536,6,79,1234,1291,1
4379,1,1924,16,4,1,1130,62,3
4380,1,4167,73,1,59,87,249,3
4381,6,1702705,1276,476,106,1697,3651,3
4382,14,1106730,9744,177,732,2314,549,5
4383,1,246236,9716,78,677,1889,273,4
4384,1,130038,620,39,73,1411,124,3
4385,5,516395,703,184,196,558,2397,3
4386,3,23345,18,4,0,2172,2573,3
4387,3,4994,4,0,0,1374,641,3
4388,1,51166,777,11,238,1567,485,4
4389,1,221211,6276,82,907,1137,638,3
4390,3,507,0,0,0,1179,31,3
4391,1,29163,102,1,11,2319,239,6
4392,1,124794,465,21,115,1996,1367,1
4393,2,95972,440,12,51,691,2453,3
4394,41,173221,265,39,9,1915,919,3
4395,1,44185,72,12,5,1917,6803,4
4396,1,27886,132,77,240,958,625,3
4397,2,1582678,1875,280,85,1483,4155,6
4398,5,763835,4358,93,333,2384,197,5
4399,1,233,0,0,0,2234,31,3
4400,1,31902,89,20,8,2144,2797,3
4401,19,1587272,14046,588,2707,630,830,5
4402,9,3440536,2000,1024,91,1811,305,3
4403,6,277709,222,55,36,290,67,3
4404,2,1418,3,3,0,1522,87,3
4405,2,2061534,18816,1219,958,2070,370,1
4406,1,705518,5932,603,1925,165,248,3
4407,1,1247454,7975,1259,423,674,451,5
4408,1,282776,3668,246,178,191,970,3
4409,1,11494,8,8,0,2053,26,3
4410,9,1147362,7208,290,250,1457,306,7
4411,3446,23647,166,19,6,393,494,1
4412,88,617,1,1,0,608,21,3
4413,2,152357,215,73,19,2311,1265,3
4414,3,4431,50,1,5,658,61,3
4415,1,897114,4834,473,689,1639,195,2
4416,646,253466,1336,29,57,116,452,3
4417,50,228580,380,33,29,102,434,3
4418,7,4256429,16384,2055,3851,1425,571,3
4419,1,5036458,28604,1665,1428,467,338,3
4420,1,14044,237,6,33,2324,242,3
4421,2,16287,34,12,2,910,280,1
4422,3,64288,851,24,153,215,313,5
4423,1,283557,1087,63,197,527,290,6
4424,1,91437,144,17,16,1672,211,3
4425,3,114730,467,21,53,176,867,6
4426,439,1610,7,1,5,505,198,3
4427,1,164,2,0,0,936,46,3
4428,5,43134,22,9,3,291,271,3
4429,1,3531,7,3,0,1313,11,4
4430,1,5969,3,1,0,1090,426,6
4431,4,2000697,914,315,46,1279,149,3
4432,4,1595843,5262,140,311,1592,261,6
4433,1,13277,16,3,0,726,1350,2
4434,10,3667939,4700,1026,336,1178,9193,3
4435,145,1588662,7809,140,1757,1000,64,4
4436,78,1980,6,2,0,1734,31,4
4437,4,4477564,23147,1574,3162,2188,269,3
4438,48,46511,649,15,106,2056,571,3
4439,1,70332,1065,11,57,1097,241,6
4440,123,2531835,1324,521,32,1947,213,3
4441,2,37035,330,1,23,16,212,3
4442,17,577249,993,108,38,1036,1416,3
4443,4,510661,1314,86,163,522,211,3
4444,2,26789,78,12,70,1153,242,5
4445,1,510876,173,104,8,1479,130,3
4446,5,199122,150,73,141,1947,2438,3
4447,2,292388,227,50,10,971,196,3
4448,8,321250,301,103,110,661,2303,3
4449,2,1459350,15672,817,1650,703,479,1
4450,9,909,8,1,1,1275,96,3
4451,67540,77054,71,36,18,2026,268,2
4452,5,209978,338,109,12,539,2601,3
4453,1,141949,1128,19,31,1156,186,6
4454,2,217129,781,37,45,1625,536,3
4455,2,2609671,5239,315,596,445,1349,7
4456,1,1105772,3627,157,353,1399,238,6
4457,2,339388,1047,60,211,779,593,0
4458,2,443956,329,133,2,1585,161,3
4459,1,562812,228,98,29,2376,5134,4
4460,7,237042,5621,404,2236,1170,590,3
4461,1,2025407,10020,184,570,911,255,6
4462,2,505112,2083,34,309,479,304,6
4463,1,660,10,1,0,102,65,5
4464,27,511529,1148,72,80,2248,271,3
4465,1,26930,53,6,5,2011,640,4
4466,6,509694,6362,258,438,208,305,1
4467,1,1267583,2245,324,142,872,328,3
4468,5,1390342,22446,363,3413,122,399,1
4469,6,342300,1457,681,344,1031,93,7
4470,415,4882569,8539,1063,1549,1877,1351,6
4471,379,5450399,12936,2514,871,1135,9106,6
4472,6,867411,504,323,0,1090,634,3
4473,21,1938390,4640,1147,917,1411,626,2
4474,1,11220,108,3,18,855,575,3
4475,4,230,2,0,0,1230,30,3
4476,2,22923,305,0,29,1168,515,6
4477,1,918252,7843,476,1063,1504,698,1
4478,1,147,1,0,0,261,218,3
4479,3,375660,551,151,43,535,8422,3
4480,1,389641,188,65,17,1437,285,3
4481,1,438854,1676,78,144,1280,111,3
4482,2,4340856,17898,330,542,1058,256,3
4483,3,83405,0,0,0,1096,1295,3
4484,1,993142,1285,348,70,2116,232,3
4485,9,31398,106,17,196,2384,516,4
4486,3,1360386,3874,801,2393,1032,524,5
4487,1,9070,25,0,2,1669,659,6
4488,3,765,0,2,0,650,11,3
4489,2,80637,107,11,5,2366,2796,7
4490,24,16544,25,1,5,1257,116,0
4491,1,98044,649,14,22,1051,227,6
4492,5,567444,600,175,129,1561,73,3
4493,127,119508,198,28,200,575,627,4
4494,102,1953249,1666,422,101,94,956,3
4495,3507,4738,14,0,0,234,163,3
4496,2,252845,2630,48,237,920,1179,4
4497,1,3599,3,0,0,809,90,0
4498,4,14160,166,15,23,358,243,4
4499,12153,12306,36,16,3,900,345,6
4500,1,36339,244,2,5,727,236,6
4501,1,276613,462,20,49,1791,326,6
4502,2,19132,0,0,0,819,2728,6
4503,1,15064,4,2,0,940,106,4
4504,2,564970,2462,68,202,2116,166,1
4505,4,319721,298,112,55,454,602,3
4506,2,37585,117,12,14,2012,260,6
4507,9,1778696,20618,667,2002,1491,359,1
4508,3,799024,5263,190,585,2267,202,3
4509,1,6501,124,16,50,566,101,3
4510,1,2822,10,0,1,1427,916,6
4511,2,139468,471,27,25,1234,679,3
4512,4,299733,684,102,277,1503,961,0
4513,1,189297,320,28,11,1700,1332,3
4514,3,115913,257,18,8,992,193,3
4515,2,39314,63,5,0,1592,130,3
4516,21,966734,4713,389,498,2202,257,1
4517,10,3897030,32552,5033,2816,1177,197,3
4518,1,113420,280,9,4,650,113,3
4519,1,15847,45,0,1,1189,598,6
4520,42,871874,4552,197,566,1005,274,6
4521,2,481796,3247,183,2691,1160,723,5
4522,2,395509,396,53,5,2022,82,2
4523,1,78655,199,38,43,408,4342,7
4524,1,229181,288,118,92,668,78,3
4525,7,271144,613,46,38,1691,644,3
4526,13,4972266,2872,1822,197,1536,5940,4
4527,187,4578667,1655,751,82,1759,175,3
4528,5,276413,2240,78,161,1479,859,4
4529,2,1097528,3211,186,784,368,335,6
4530,4,525539,1210,139,93,899,293,3
4531,1,38414,207,27,115,2032,736,4
4532,130,1912367,674,369,17,1691,109,3
4533,132,4345,213,2,60,1917,602,5
4534,1,2130839,1833,1365,250,1531,540,4
4535,7434,11161,20,1,0,2207,230,3
4536,1,160229,1018,26,18,1712,104,3
4537,13,1187377,7288,767,366,1491,492,5
4538,2,7553,16,2,1,1177,135,3
4539,6,178981,1903,229,1168,1633,175,1
4540,24,810460,709,103,31,584,261,6
4541,1,291308,1501,393,145,513,329,5
4542,7,220094,283,20,21,1795,534,3
4543,1,919924,1338,43,91,1581,497,6
4544,6,3017598,7560,850,1023,2343,121,3
4545,5,1946950,0,0,0,1960,214,3
4546,14,630149,944,99,50,2155,87,3
4547,1,214245,620,63,97,820,266,4
4548,2,58418,246,17,9,196,45,5
4549,18,907931,297,135,13,2333,226,3
4550,2,5762,252,8,31,1051,185,6
4551,1,1006641,2885,214,381,1106,217,3
4552,2039,3087,20,0,1,2379,125,6
4553,29,213956,117,25,12,2362,85,3
4554,1,75964,260,51,60,2032,82,3
4555,6,85830,199,17,8,1983,939,1
4556,4,1146,0,0,0,1179,31,3
4557,832,1257,12,1,0,581,267,6
4558,1,375,0,0,0,68,121,3
4559,6,1321399,24147,508,2377,1247,631,1
4560,1,107412,910,37,22,2209,126,3
4561,1,7157,16,3,0,216,8768,3
4562,138,332411,312,21,14,145,216,3
4563,1,334337,333,71,191,432,534,3
4564,1,60470,631,31,29,2102,623,3
4565,4,134884,677,48,529,1491,1352,3
4566,1,1657970,2905,122,98,1547,183,4
4567,1,11556,57,9,4,1090,234,4
4568,1,374629,1129,43,95,1490,812,3
4569,5,120798,1281,29,117,1255,3786,6
4570,26,6231526,28392,1609,526,1248,411,3
4571,1,175843,232,31,53,1404,3051,6
4572,1,13568,3,1,0,2305,83,3
4573,3,1667038,6499,1784,655,1155,287,6
4574,1,160865,125,50,42,1186,195,6
4575,3,45994,106,6,6,897,552,3
4576,7,1588202,6503,325,411,691,264,6
4577,2,395091,6705,240,1523,899,548,3
4578,7,462997,2480,285,978,1729,505,1
4579,5,377792,1341,87,223,2180,1370,3
4580,2,24549,244,6,107,268,781,3
4581,1,445799,518,174,52,1717,7445,4
4582,1,112685,590,25,24,200,141,6
4583,1,36693,527,34,161,1153,482,3
4584,8,2591,6,0,0,1534,1276,6
4585,3,99426,271,16,17,1011,237,6
4586,8,306208,1032,62,24,279,749,3
4587,5,188409,226,120,29,989,1099,3
4588,1,20702,55,4,8,2188,68,3
4589,1,137988,372,10,3,1489,184,3
4590,1,620720,2247,107,572,1355,347,3
4591,40,64178,148,17,8,87,490,3
4592,1,33924,68,7,9,2131,2812,6
4593,1,172440,827,46,100,229,284,6
4594,1,3623,1,0,0,992,56,3
4595,12,1356650,5916,2693,2757,1567,445,3
4596,1,295214,437,44,47,930,680,3
4597,10,1058236,351,138,19,992,292,3
4598,2,270335,5301,100,5825,1411,448,3
4599,1,4686,23,1,2,2075,227,3
4600,1,46145,152,8,18,1465,121,4
4601,1,1885,2,0,0,64,5144,4
4602,1,163435,6380,59,523,223,1110,5
4603,2,325493,521,122,38,2025,169,3
4604,1,199224,196,63,48,1794,217,3
4605,3,501438,286,106,12,2375,235,6
4606,6,335479,479,31,23,1948,217,3
4607,1,62254,350,15,19,1944,851,2
4608,5,547178,895,253,1130,2247,519,3
4609,1,501023,15269,253,476,964,156,1
4610,4,125416,542,16,58,1715,1164,6
4611,1,26787,181,4,155,767,911,3
4612,3,54488,386,24,31,212,210,6
4613,1,203231,155,24,4,594,131,3
4614,2,188257,409,49,14,412,373,5
4615,6,997397,10213,313,4290,223,501,3
4616,58,136393,239,35,65,1186,408,3
4617,1,1032,16,2,3,1081,324,5
4618,2,37915,34,9,3,201,1163,4
4619,14,540112,1646,240,182,2273,6782,6
4620,1,3082,73,2,16,2143,127,6
4621,5,46057,20,1,3,1872,90,3
4622,2,151223,358,41,45,384,228,3
4623,1,536913,2882,118,1211,305,726,6
4624,3,832361,1108,182,50,2090,8499,3
4625,1,18895,19,4,1,1567,719,4
4626,7,1924388,11850,1020,1534,2323,756,7
4627,132,1217321,2773,390,257,1086,3116,6
4628,1,9331,7,2,0,514,173,4
4629,5,2374711,1919,1103,114,1445,380,3
4630,1,33453,40,4,0,621,2147,4
4631,1,1739955,16927,1201,1552,1524,416,6
4632,7,130283,441,38,90,381,2707,3
4633,2,387808,1512,74,51,1656,3656,6
4634,1,3111436,10041,2658,0,1433,629,3
4635,1,6424,12,4,1,387,9393,3
4636,55663,134810,1690,683,119,2229,622,2
4637,34,30918785,57266,15235,1659,1305,173,2
4638,2,118,5,0,1,347,2691,3
4639,2,2424091,3554,636,306,2092,281,3
4640,1,401560,4567,113,1996,1168,1466,3
4641,1,197469,376,104,50,1000,232,6
4642,1,7286,99,8,27,227,121,3
4643,1,193944,514,33,87,1088,1357,3
4644,6,178907,120,22,10,938,81,3
4645,5,623085,435,128,15,982,3554,3
4646,1,86629,127,18,150,437,377,3
4647,5,552328,7613,156,1009,696,1191,3
4648,1,89743,13,1,1,1214,21,4
4649,1,988,4,0,2,670,359,3
4650,1,166450,6457,273,1912,606,58,6
4651,2,303132,1120,68,46,649,320,6
4652,1,548045,2449,2096,1141,1874,460,1
4653,1,580402,13430,87,875,116,308,2
4654,1,20190,17,2,2,1391,6193,4
4655,3,3885,12,4,3,1782,6057,4
4656,742,6245,72,2,10,255,146,3
4657,1,390060,832,52,48,2259,327,3
4658,3,4639220,11572,2593,541,1324,326,3
4659,9,1708432,7556,1330,3426,767,529,1
4660,11506,15072,60,1,2,1675,278,6
4661,3,333386,489,136,97,1875,5117,3
4662,1,1182,3,2,0,138,207,3
4663,1,771582,1991,85,138,249,758,1
4664,1,16707,31,2,0,182,131,3
4665,11,301185,264,59,19,1110,626,3
4666,21,8329032,7808,1813,329,444,213,3
4667,2,73848,298,43,31,1754,12741,6
4668,100,1351006,2457,730,101,24,5378,3
4669,1,41183,39,6,11,359,127,3
4670,2,1542644,409,326,36,937,172,3
4671,8,127124,1104,52,1050,230,518,3
4672,1,163450,1073,13,170,154,687,1
4673,1,94855,3716,38,440,930,530,5
4674,1,151781,882,16,126,1586,192,3
4675,10,146501,365,44,35,1945,259,3
4676,3,49791,278,14,12,822,375,3
4677,4,484568,1258,87,81,1321,360,3
4678,1,1446917,15960,580,554,1706,270,3
4679,3,143246,158,37,22,1637,206,3
4680,1,70,0,0,0,1469,54,3
4681,2,439685,291,72,95,1152,140,4
4682,1,9270,0,0,0,497,3292,7
4683,10,646174,2323,107,94,2291,407,3
4684,2,29759,28,0,5,549,277,3
4685,4,284317,695,54,181,1781,232,3
4686,74,118870,71,21,2,1104,835,3
4687,80,271031,240,64,6,1430,850,3
4688,5,83650,214,4,69,1885,165,6
4689,1,189162,900,78,87,282,358,3
4690,21,259619,3091,114,534,867,386,1
4691,9,520712,1212,58,70,1567,186,6
4692,3,788964,1353,143,13,16,887,3
4693,1,5444,31,7,8,1249,238,6
4694,1,16567,15,4,6,1330,2509,3
4695,2,810171,839,138,65,442,9273,3
4696,4,347832,466,115,61,135,942,3
4697,2,41379,58,15,18,1958,2407,3
4698,731,1125,17,0,2,58,278,6
4699,2,788270,3319,392,109,2311,680,5
4700,2,834868,0,0,29,1548,366,7
4701,1,209381,437,24,9,1781,516,3
4702,2,2210877,3384,552,475,1535,2480,3
4703,3,23730,559,16,57,869,98,4
4704,3,1373576,5078,639,242,1369,61,3
4705,35525,36766,3,0,0,1078,21,3
4706,3,1071888,6460,313,918,1496,171,1
4707,1,8290,8,5,9,1365,181,6
4708,2,407008,2954,142,402,344,1304,1
4709,1,132007,976,74,102,191,311,1
4710,1,185713,100,31,19,717,207,6
4711,2,520333,2873,272,1475,1113,231,3
4712,14350,2908569,5405,3446,211,45,1455,6
4713,2,1778,0,0,1,1875,31,3
4714,1,3385,2,1,0,1149,820,3
4715,2,173928,460,28,32,154,33,3
4716,2,381780,1823,263,932,58,455,1
4717,1,25028,1092,5,232,2350,7719,2
4718,7,370626,278,114,52,1307,333,3
4719,5499,230863,504,38,43,1446,254,3
4720,1,152445,5824,92,472,1648,1289,0
4721,1,352471,3160,120,334,2158,328,6
4722,4,1817,6,2,0,371,103,3
4723,36,262178,2640,85,138,1535,2156,3
4724,48,120957,381,11,28,170,566,3
4725,561,1255,8,4,1,323,78,1
4726,1,93361,531,18,30,1608,352,6
4727,1,21604,13,0,17,2373,568,3
4728,1,35706,39,7,14,1361,488,6
4729,6,890201,403,117,14,1932,84,3
4730,5,138482,795,47,43,495,216,1
4731,1,124850,80,27,18,1156,399,3
4732,5,1356574,1376,92,217,2041,273,6
4733,1,10666,9,3,1,379,176,0
4734,2766,2945492,26759,704,2007,359,565,3
4735,2,440,0,1,0,922,91,3
4736,1,2034,9,0,0,2151,546,3
4737,1,580,4,0,2,1641,78,3
4738,9,1742410,5842,757,302,1641,80,3
4739,1,32373,51,4,6,7,546,3
4740,3,8184705,10015,2707,979,2002,257,4
4741,2,314120,565,74,144,1072,2694,1
4742,8,5487481,33291,8514,18499,2138,422,3
4743,1,47538,773,13,77,1962,3552,2
4744,30,27472475,140661,49449,28877,1810,230,6
4745,1,99679,67,24,18,2131,7399,3
4746,4,890128,1673,175,223,684,270,3
4747,1,2612159,11770,952,1572,1973,297,3
4748,1,24319,186,9,169,2225,1238,3
4749,3,12523,32,3,2,1632,297,6
4750,1,46198,82,17,12,522,3542,3
4751,1,2713927,20943,438,1064,1195,480,3
